robot_no,x,y,rho
1,122.6010008,-191.6969996,120.354866
2,-62.01264921,-30.59569646,95.75485995
3,-33.19648831,-53.11959022,94.18121862
4,64.7512993,88.74679967,101.5083938
5,-82.56402549,-35.49440282,99.52274972
6,-12.30849994,-139.1850001,105.9438678
7,-24.11090052,-197.1409958,113.2383998
8,-144.5060051,-6.323562961,106.6228928
9,-134.9650003,31.65359938,105.5865139
10,141.264,-163.8939998,116.0423734
11,-34.60809969,33.61819977,90.49010841
12,-59.19234931,-60.64176048,98.23937955
13,24.63550032,117.5700002,103.2783408
14,-141.8419998,-80.47800015,109.6080945
15,-73.50042332,-78.23107204,101.3788746
16,-218.229,-30.87770056,117.3602767
17,-75.79940048,-9.303619739,96.4360435
18,-3.352809204,64.90840015,94.2940633
19,23.82599993,25.43419957,88.05609432
20,-142.9820008,84.37630061,109.8950057
21,-45.00580066,-133.9169999,106.3482315
22,-82.29777194,24.3971429,99.02667893
23,-22.20909977,117.417,103.1338398
24,-204.5679993,42.76180062,115.0590465
25,-8.902205607,29.79872989,86.68570036
26,9.068029939,126.4379999,103.7959249
27,-92.875957,49.33444225,101.0885886
28,107.5909999,51.92579999,102.9579459
29,-28.28309979,166.5629998,109.9685282
30,-169.0570001,-104.144,113.1712199
31,-94.10293687,68.78263794,101.8089217
32,-95.06410047,150.8229993,111.2994347
33,51.78314681,15.24412779,92.37034987
34,54.93530004,117.0659998,104.5629417
35,33.766633,47.92413565,93.7358126
36,29.52512075,-27.11114029,90.40152081
37,110.062999,78.03339981,105.24041
38,-147.2799999,-38.41900004,108.8525242
39,37.63619909,80.38439945,99.4419565
40,-56.29980081,-164.3279996,110.9688628
41,-121.962,-133.3170002,111.4088067
42,5.750489929,-93.9199866,100.0854535
43,-81.29299983,-110.3350011,105.4612478
44,45.67010003,-93.10770007,101.0819243
45,-26.75493545,-78.79329344,97.71721095
46,72.3082001,-163.5850003,111.3384047
47,-252.9590005,-12.65739999,126.4493309
48,-187.4880002,-66.76450009,114.6304237
49,126.589,-95.05699995,109.40355
50,-3.668985689,-14.64890478,82.97645672
51,15.19161236,-56.08495642,93.6711639
52,95.57119962,6.853419733,100.2724452
53,28.41755367,-55.08877612,94.00056001
54,46.18830818,-68.78420938,97.37262284
55,89.37339982,-117.5600003,106.6858231
56,186.8500001,-90.54490021,114.7411932
57,20.59577995,-73.78427386,96.46738217
58,89.73769987,-75.16340018,102.0194286
59,-34.34340011,-100.1090002,101.3106901
60,54.70146154,51.81838368,96.1932142
61,-10.52088276,2.717707272,78.77694055
62,14.33480026,-122.9240001,103.5782779
63,80.72399969,25.81368252,98.81630714
64,64.40190002,-24.79870051,95.21298974
65,-33.3263687,71.82283525,96.96009744
66,125.237,-0.977119396,103.7016906
67,93.84149999,-21.64720022,100.5774651
68,156.5829997,-8.828720624,109.324716
69,63.51322592,39.57791721,96.12586181
70,137.8699993,56.33340059,107.0862535
71,166.7519995,42.29619953,110.9128197
72,-96.46300019,115.5840007,107.9155279
73,3.719874022,75.04249958,96.13596969
74,-98.88759966,-117.0510009,108.9513613
75,18.05609992,-160.3349999,109.4150561
76,-53.24370023,142.5690002,108.7631372
77,-53.01437963,40.27026012,94.78036495
78,-13.85359877,-50.97191047,90.82343718
79,121.4879995,-136.2049998,112.0221882
80,-129.82,127.4629998,111.7342816
81,-5.487057125,-92.18775874,99.72020169
82,61.37500001,-114.8379997,104.7548978
83,109.6749995,101.506,107.535272
84,186.2830014,11.37580453,112.2729076
85,88.2037997,-46.44689639,101.061061
86,-103.5209991,-63.58670057,103.527357
87,71.40360057,-3.66940017,95.80267583
88,35.86626393,0.725094823,88.09310421
89,-34.95077732,-16.28146468,88.68257594
90,-174.473004,-30.25290165,111.1577469
91,-70.47200041,93.72199976,102.5026209
92,-195.8190001,-137.0099999,123.9630286
93,-138.3989994,-180.1389998,119.6720802
94,-89.79100012,-81.18530035,103.523968
95,-171.786001,78.20439951,112.2837516
96,-245.3500003,67.16170054,133.9755649
97,-22.17238327,52.83442986,92.93547414
98,133.2909995,-41.71999948,105.9277801
99,-113.3441448,-36.09268258,102.6878089
100,-51.11798322,8.069654698,90.49681228
