robot_no,x,y,rho
1,122.60100082948972,-191.6969996297953,207.99635738112926
2,-62.012649212512194,-30.59569646365614,55.327146652891166
3,-33.19648831240099,-53.119590217774395,52.16511865062592
4,64.7512992971952,88.74679966824426,103.5040986252964
5,-82.56402549059074,-35.49440282572371,84.60904264162895
6,-12.308499940341155,-139.1850001412558,123.76676059989359
7,-24.110900458341522,-197.14099636951488,186.0793399685174
8,-144.50600512688328,-6.323562963396645,129.80446025022368
9,-134.96500027092452,31.653599378333386,121.80312388799096
10,141.26399995234502,-163.89399983646123,194.38159532526484
11,-34.60809968869305,33.61819977119475,23.648175378618404
12,-59.19234930932249,-60.6417604807552,76.69128111036235
13,24.635500324740534,117.57000023431401,109.94858793522707
14,-141.84199984693632,-80.47800015079041,146.83492234022543
15,-73.50042332168066,-78.23107204386947,101.57861675877355
16,-218.22899997446567,-30.87770056307808,198.89638867177766
17,-75.79940048263157,-9.303619740406877,65.2244283054531
18,-3.3528091965823847,64.90839960335339,52.89743792504743
19,23.82599992918033,25.434199572854798,18.27614944392529
20,-142.9820007524149,84.3763006058797,150.6034329710369
21,-45.00580066278359,-133.91699986623388,129.7916428206164
22,-82.29777194273802,24.397142893650916,80.00355992140025
23,-22.209099771386896,117.4170000238366,108.62678509085683
24,-204.5679993230225,42.76180062171689,192.69271466890274
25,-8.902205605561164,29.798729890960306,16.17082822707748
26,9.068029941280642,126.43799989107085,114.4891233749408
27,-92.8759569993384,49.334442245848194,98.7419504680331
28,107.59099991396293,51.92579998937163,107.84040184882633
29,-28.283099786412436,166.56299981685297,152.67339620407247
30,-169.05700005232387,-104.14399998427912,185.25791943853704
31,-94.10293687158064,68.78263793562418,104.69138138889352
32,-95.06410047152625,150.8229992796636,160.89260638478612
33,51.78314681469218,15.244127786130823,32.71396103596513
34,54.93530004424407,117.06599979301512,117.02763964023907
35,33.766633002129076,47.924135647851806,45.479781623848524
36,29.525120749914848,-27.111140292745063,22.46703088474824
37,110.06299898329821,78.03339981174912,120.71808796514081
38,-147.27999994855867,-38.41900003784286,141.66376082366833
39,37.63619909210148,80.38439944451076,84.3850584801663
40,-56.299800813028234,-164.3279995899937,157.29977945933018
41,-121.96200003147808,-133.31700016953906,171.9989417465809
42,5.750489931118996,-93.9199866054641,85.30046899945893
43,-81.29299982468861,-110.33500109251342,121.44050266484042
44,45.67010003585674,-93.10770006854725,97.59472846589155
45,-26.754935452461392,-78.79329343857329,73.60137611554782
46,72.30820010461039,-163.5850003386465,165.26595121817957
47,-252.9590005381021,-12.657399993127827,222.42751793909724
48,-187.48800015111024,-66.76450009056998,188.20370111725197
49,126.58900004977119,-95.05699995396103,144.55105863043002
50,-3.6689856869408954,-14.648904780500093,12.3831852253345
51,15.19161236015185,-56.084956416841706,43.147418354981895
52,95.57119962713763,6.853419720427012,87.185904467769
53,28.417553676391027,-55.088776124426445,46.35587913194157
54,46.18830760784147,-68.78420956344789,73.08135727941338
55,89.37339982561157,-117.5600003294235,130.44312738481847
56,186.85000009276195,-90.54490021433422,190.8576705372168
57,20.59577995515629,-73.78427386635862,66.41734625101142
58,89.73769987217767,-75.16340017699963,105.76757768241929
59,-34.3434001034661,-100.10900018162614,98.78049083989012
60,54.70146154318254,51.81838367669182,64.15581954970482
61,-10.52088276622445,2.7177072684091197,11.532685097487317
62,14.334800264545212,-122.92400013916725,110.69106629895143
63,80.72399995272193,25.813682918697168,77.19984583978834
64,64.4019000242568,-24.79870050850115,55.306568554671635
65,-33.326368694589405,71.82283524657629,71.19125712682245
66,125.23700002326625,-0.9771193982206494,112.1789569895543
67,93.8414999911972,-21.64720022692761,94.41420231318288
68,156.58299973111326,-8.828720625773423,143.08274017005624
69,63.51322592590274,39.57791720501489,56.31821341227026
70,137.8699992719276,56.333400594719585,132.2200896140295
71,166.75199945286533,42.29619953008432,153.02527841738524
72,-96.46300019390144,115.58400065824688,135.18762503233637
73,3.7198740242066375,75.04249957681056,58.68748713844836
74,-98.88759966018657,-117.05100089308456,142.25154588838
75,18.0560999193059,-160.33499994036282,145.6499406723347
76,-53.24370022747762,142.56900018233648,138.4533962073328
77,-53.014379628136446,40.27026011317152,54.764681483815906
78,-13.853598767947473,-50.971910471111734,30.608571586644473
79,121.48799955140454,-136.2049997853827,172.7833996633882
80,-129.81999999324984,127.46299976611537,172.69338436007743
81,-5.487057122829309,-92.1877587395982,85.29805039474954
82,61.374999989935986,-114.83799964461325,118.0955609516811
83,109.67499947712098,101.50599994287089,133.97003983955778
84,186.28300110919756,11.375803548025365,181.84552063139512
85,88.20379971998416,-46.44689667172106,95.9165977489154
86,-103.52099909811105,-63.58670056914883,110.39264418614903
87,71.40360057588498,-3.6694001714740576,56.07635331282111
88,35.866264190922294,0.7250953468878052,18.89966106199215
89,-34.95077717414414,-16.28146425730317,22.420587533170234
90,-174.47300353522945,-30.252901470868878,159.6840360980726
91,-70.47200040982827,93.72199975570987,106.01979402562405
92,-195.81900005267494,-137.00999994995377,211.7206420111906
93,-138.39899936911172,-180.13899976373318,200.5908685762119
94,-89.79100012036866,-81.18530035023177,110.06364937626321
95,-171.7860010469424,78.20439950876312,182.1096529341492
96,-245.35000034710325,67.1617005350094,241.74419745005045
97,-22.17238327253188,52.83442985289841,41.7196450680334
98,133.29099953844602,-41.71999948377258,122.24748922070664
99,-113.34414484075133,-36.092682580283906,107.73997023901947
100,-51.117983127963164,8.06965471643748,26.301019089212417
